"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Such a day 

I got A on a Quiz 
Then the #VelvetRevolution 
Later I watched Avengers: Infinite War 
And it was /b9ZeR04KaO",FALSE,2,NA,2018-05-08 19:35:38,TRUE,NA,"993937489030238209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aaronsarkissian",0,FALSE,FALSE,NA,NA
"@SamWils1818 in Avengers age of ultron at the very beginning when they are infiltrating the base and Wanda shows to /Eac5n5ivAl",FALSE,0,"SamWils1818",2018-05-08 19:20:14,TRUE,NA,"993933612218187778","3381779206","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hossy2002",0,FALSE,FALSE,NA,NA
"Vazou uma cena deletada dos Avengers Infinite War /JK3KOpIFe1",FALSE,20,NA,2018-05-08 19:14:19,FALSE,NA,"993932125392048130",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndersonDino",3,FALSE,FALSE,NA,NA
"J'aime une vido @YouTube: ""Pierres d'Infinit : Rponses  5 GRANDES questions sur Avengers Infinity War""  l'adresse",FALSE,0,NA,2018-05-08 18:54:23,FALSE,NA,"993927106957643776",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","yakuzasow1",0,FALSE,FALSE,NA,NA
"Go voir Avengers : Infinite War a va tre le choc",FALSE,0,NA,2018-05-08 17:54:26,FALSE,NA,"993912022130622464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whatisaCam",0,FALSE,FALSE,NA,NA
"@MarvelSpain rumbo al cine para ver Avengers infinite war , por tercera vez, un abrazo morenos /SQOaM96Due",FALSE,0,"MarvelSpain",2018-05-08 17:44:42,FALSE,NA,"993909572371873792","2294205698","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdrianDMoreta",0,FALSE,FALSE,NA,NA
"RT @iggycarrasco: *sees someone type/say Infinity Wars*

Me: 
Avengers: Infinity War
Infinity WAR!
W-A-R
not W-A-R-S... just WAR
Infinity",FALSE,0,NA,2018-05-08 17:20:14,FALSE,NA,"993903413208510466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DannyJLlerena",6,TRUE,FALSE,NA,NA
"RT @Longreads: #Superheroes used to stick up for the underdog and punch a lot of Nazis. Now, they fight villains who look a lot like themse",FALSE,0,NA,2018-05-08 17:19:53,FALSE,NA,"993903327862837249",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","brentharrell",5,TRUE,FALSE,NA,NA
"Are you playing the Fortnite Infinite War event? /8kHSFWr4O2",FALSE,2,NA,2018-05-08 17:00:02,FALSE,NA,"993898331691765763",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","MWEBGMZ",1,FALSE,FALSE,NA,NA
"RT @eventhubs: Fortnite receives an Avengers: Infinity War crossover event; meanwhile, Marvel vs. Capcom: Infinite gets... silence
https://",FALSE,0,NA,2018-05-08 16:26:15,FALSE,NA,"993889828566585344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WickedxMage",10,TRUE,FALSE,NA,NA
"@fades_x_comics I'll give Thanos something, they improved his moveset from MVC2 and he made Infinite's story mode i /t5GhB7AXkg",FALSE,1,"fades_x_comics",2018-05-08 16:15:31,TRUE,"993865434058428417","993887129251074048","3225676500","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StriderXanthos",0,FALSE,FALSE,NA,NA
